"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12723","User can see list of products on inventory page","","Fri Nov 07 10:45:13 UTC 2025","passed","Fri Nov 07 10:45:26 UTC 2025","","Inventory Page","User can see list of products on inventory page",""
"","898","Add multiple products to cart","","Fri Nov 07 10:45:28 UTC 2025","failed","Fri Nov 07 10:45:28 UTC 2025","","Inventory Page","Add multiple products to cart",""
"","720","Login fails with error message","","Fri Nov 07 10:45:30 UTC 2025","passed","Fri Nov 07 10:45:31 UTC 2025","","Login","Login fails with error message",""
"","732","Login with uppercase username","","Fri Nov 07 10:45:32 UTC 2025","passed","Fri Nov 07 10:45:33 UTC 2025","","Login","Login with uppercase username",""
"","860","User can add product to cart","","Fri Nov 07 10:45:26 UTC 2025","passed","Fri Nov 07 10:45:27 UTC 2025","","Inventory Page","User can add product to cart",""
"","700","Login with empty username","","Fri Nov 07 10:45:31 UTC 2025","passed","Fri Nov 07 10:45:32 UTC 2025","","Login","Login with empty username",""
"","742","Login using valid email and password","","Fri Nov 07 10:45:29 UTC 2025","passed","Fri Nov 07 10:45:30 UTC 2025","","Login","Login using valid email and password",""
"","711","Login with locked user","","Fri Nov 07 10:45:33 UTC 2025","passed","Fri Nov 07 10:45:34 UTC 2025","","Login","Login with locked user",""
"","950","Add multiple products then remove one","","Fri Nov 07 10:45:28 UTC 2025","passed","Fri Nov 07 10:45:29 UTC 2025","","Inventory Page","Add multiple products then remove one",""
"","699","Login with empty password","","Fri Nov 07 10:45:32 UTC 2025","passed","Fri Nov 07 10:45:32 UTC 2025","","Login","Login with empty password",""
"","866","User can remove product from cart","","Fri Nov 07 10:45:27 UTC 2025","passed","Fri Nov 07 10:45:28 UTC 2025","","Inventory Page","User can remove product from cart",""
