"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","1","0","Login with locked user","0"
"0","","0","Login","1","0","Login with empty username","0"
"0","","0","Inventory Page","1","0","Add multiple products then remove one","0"
"0","","0","Inventory Page","1","0","User can add product to cart","0"
"0","","0","Login","1","0","Login fails with error message","0"
"0","","0","Inventory Page","1","0","User can remove product from cart","0"
"0","","0","Inventory Page","1","0","User can see list of products on inventory page","0"
"0","","0","Login","1","0","Login with uppercase username","0"
"0","","0","Login","1","0","Login using valid email and password","0"
"0","","0","Login","1","0","Login with empty password","0"
"0","","1","Inventory Page","0","0","Add multiple products to cart","0"
